      6    291         itext   idata
 Output of the Ioffe code for BSk

 NSCool Input Crust
   Rho        Press       nbar       [A_cell]    [A_ion]     [Z]
   8476688330.1583090        6.0337389290773315E+027   5.1047775477873466E-006   80.989689709999993        80.989689709999993        32.346065080000002     
   8073036504.9126749        5.6676359551106688E+027   4.8616929026546153E-006   80.640820300000001        80.640820300000001        32.279223530000003     
   7688606195.1549282        5.3236424880039542E+027   4.6301837168139190E-006   80.295192959999994        80.295192959999994        32.212616879999999     
   7322482090.6237411        5.0004290399334027E+027   4.4096987779180181E-006   79.952785180000006        79.952785180000006        32.146248540000002     
   6973792467.2607059        4.6967456146944430E+027   4.1997131218266841E-006   79.613574709999995        79.613574709999995        32.080121849999998     
   6641707111.6768627        4.4114170061379618E+027   3.9997267826920809E-006   79.277539509999997        79.277539509999997        32.014240080000000     
   6325435344.4541550        4.1433383679446135E+027   3.8092636025638863E-006   78.944657800000002        78.944657800000002        31.948606490000000     
   6024224137.5753851        3.8914710399823925E+027   3.6278700976798912E-006   78.614908000000000        78.614908000000000        31.883224240000001     
   5737356321.5003662        3.6548386171744018E+027   3.4551143787427535E-006   78.288268790000004        78.288268790000004        31.818096480000001     
   5464148877.6193962        3.4325232474661327E+027   3.2905851226121455E-006   77.964719049999999        77.964719049999999        31.753226290000001     
   5203951312.0184727        3.2236621461358646E+027   3.1338905929639480E-006   77.644237919999995        77.644237919999995        31.688616700000001     
   4956144106.6842594        3.0274443143192929E+027   2.9846577075847128E-006   77.326804749999994        77.326804749999994        31.624270700000000     
   4720137244.4611988        2.8431074502293103E+027   2.8425311500806782E-006   77.012399110000004        77.012399110000004        31.560191240000002     
   4495368804.2487602        2.6699350421450788E+027   2.7071725238863599E-006   76.701000809999996        76.701000809999996        31.496381199999998     
   4281303623.0940576        2.5072536328059550E+027   2.5782595465584382E-006   76.392589889999996        76.392589889999996        31.432843460000001     
   4077432021.9943404        2.3544302453967784E+027   2.4554852824366076E-006   76.087146599999997        76.087146599999997        31.369580800000001     
   3883268592.3755622        2.2108699618291266E+027   2.3385574118443882E-006   75.784651429999997        75.784651429999997        31.306595999999999     
   3698351040.3576779        2.0760136445253354E+027   2.2271975350898932E-006   75.485085080000005        75.485085080000005        31.243891789999999     
   3522239086.0549312        1.9493357933905126E+027   2.1211405096094222E-006   75.188428479999999        75.188428479999999        31.181470839999999     
   3354513415.2904105        1.8303425301117365E+027   2.0201338186756401E-006   74.894662780000004        74.894662780000004        31.119335800000002     
   3194774681.2289624        1.7185697023603749E+027   1.9239369701672763E-006   74.603769369999995        74.603769369999995        31.057489289999999     
   3042642553.5513926        1.6135811008857355E+027   1.8323209239688344E-006   74.315729829999995        74.315729829999995        30.995933850000000     
   2897754812.9060879        1.5149667828817294E+027   1.7450675466369847E-006   74.030525979999993        74.030525979999993        30.934672039999999     
   2759766488.4819884        1.4223414953821816E+027   1.6619690920352237E-006   73.748139870000003        73.748139870000003        30.873706330000001     
   2628349036.6495128        1.3353431927936445E+027   1.5828277067002130E-006   73.468553760000006        73.468553760000006        30.813039209999999     
   2503189558.7138214        1.2536316430122306E+027   1.5074549587621076E-006   73.191750119999995        73.191750119999995        30.752673080000001     
   2383990055.9179249        1.1768871168876099E+027   1.4356713892972450E-006   72.917711659999995        72.917711659999995        30.692610360000000     
   2270466719.9218330        1.1048091561002984E+027   1.3673060850449950E-006   72.646421300000000        72.646421300000000        30.632853399999998     
   2162349257.0684123        1.0371154148019217E+027   1.3021962714714239E-006   72.377862179999994        72.377862179999994        30.573404530000001     
   2059380244.8270593        9.7354057063955725E+026   1.2401869252108800E-006   72.112017660000006        72.112017660000006        30.514266060000001     
   1961314518.8829136        9.1383530103815637E+026   1.1811304049627427E-006   71.848871310000007        71.848871310000007        30.455440270000000     
   1867918589.4122987        8.5776532085805752E+026   1.1248860999645169E-006   71.588406939999999        71.588406939999999        30.396929400000001     
   1778970085.1545701        8.0511047776980451E+026   1.0713200952043018E-006   71.330608560000002        71.330608560000002        30.338735669999998     
