      6    418    279          Itext Imax Icore

	BM165 WITH hyperons Bednarek et al. A&A 2012

   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0
  g/cm3	 dyne/cm2	   #/fm3	  [A_cell]	   [A_ion]	    [Z]													

1.8347257E+15	5.2042213E+35	8.6319260E-01	3.9471036E-02	2.3887014E-02	5.6240041E-01	1.6145373E-01	1.7805017E-01	3.9867925E-02	0.0000000E+00	0.0000000E+00	5.8227761E-02	0.0000000E+00	3.7263099E-01	5.3039578E-01	5.8221064E-01	6.6656227E-01	0.0000000E+00	0.0000000E+00	7.1816897E-01	0.0000000E+00
1.8152911E+15	5.0889018E+35	8.5622398E-01	3.9768394E-02	2.4061221E-02	5.6365554E-01	1.6124680E-01	1.7768048E-01	3.8607082E-02	0.0000000E+00	0.0000000E+00	5.8810102E-02	0.0000000E+00	3.7228160E-01	5.2992249E-01	5.8283370E-01	6.6704503E-01	0.0000000E+00	0.0000000E+00	7.1946898E-01	0.0000000E+00
1.7959874E+15	4.9755314E+35	8.4926517E-01	4.0068486E-02	2.4236584E-02	5.6493785E-01	1.6103637E-01	1.7729447E-01	3.7340326E-02	0.0000000E+00	0.0000000E+00	5.9390977E-02	0.0000000E+00	3.7194419E-01	5.2945966E-01	5.8346561E-01	6.6753482E-01	0.0000000E+00	0.0000000E+00	7.2077535E-01	0.0000000E+00
1.7768093E+15	4.8640665E+35	8.4231476E-01	4.0371580E-02	2.4413290E-02	5.6624889E-01	1.6082226E-01	1.7689146E-01	3.6068023E-02	0.0000000E+00	0.0000000E+00	5.9969364E-02	0.0000000E+00	3.7161903E-01	5.2900770E-01	5.8410685E-01	6.6803226E-01	0.0000000E+00	0.0000000E+00	7.2208878E-01	0.0000000E+00
1.7577519E+15	4.7544652E+35	8.3537136E-01	4.0677956E-02	2.4591530E-02	5.6759026E-01	1.6060424E-01	1.7647075E-01	3.4790562E-02	0.0000000E+00	0.0000000E+00	6.0544189E-02	0.0000000E+00	3.7130642E-01	5.2856708E-01	5.8475794E-01	6.6853793E-01	0.0000000E+00	0.0000000E+00	7.2340995E-01	0.0000000E+00
1.7388104E+15	4.6466876E+35	8.2843358E-01	4.0987901E-02	2.4771503E-02	5.6896362E-01	1.6038209E-01	1.7603160E-01	3.3508366E-02	0.0000000E+00	0.0000000E+00	6.1114324E-02	0.0000000E+00	3.7100667E-01	5.2813825E-01	5.8541942E-01	6.6905246E-01	0.0000000E+00	0.0000000E+00	7.2473952E-01	0.0000000E+00
1.7199799E+15	4.5406958E+35	8.2150004E-01	4.1301715E-02	2.4953415E-02	5.7037067E-01	1.6015561E-01	1.7557324E-01	3.2221891E-02	0.0000000E+00	0.0000000E+00	6.1678586E-02	0.0000000E+00	3.7072012E-01	5.2772171E-01	5.8609182E-01	6.6957646E-01	0.0000000E+00	0.0000000E+00	7.2607814E-01	0.0000000E+00
1.7012560E+15	4.4364538E+35	8.1456936E-01	4.1619709E-02	2.5137480E-02	5.7181320E-01	1.5992455E-01	1.7509490E-01	3.0931632E-02	0.0000000E+00	0.0000000E+00	6.2235725E-02	0.0000000E+00	3.7044713E-01	5.2731796E-01	5.8677572E-01	6.7011059E-01	0.0000000E+00	0.0000000E+00	7.2742653E-01	0.0000000E+00
1.6826339E+15	4.3339273E+35	8.0764019E-01	4.1942203E-02	2.5323916E-02	5.7329304E-01	1.5968867E-01	1.7459574E-01	2.9638124E-02	0.0000000E+00	0.0000000E+00	6.2784426E-02	0.0000000E+00	3.7018808E-01	5.2692755E-01	5.8747168E-01	6.7065547E-01	0.0000000E+00	0.0000000E+00	7.2878535E-01	0.0000000E+00
1.6641093E+15	4.2330838E+35	8.0071117E-01	4.2269531E-02	2.5512952E-02	5.7481210E-01	1.5944773E-01	1.7407492E-01	2.8341952E-02	0.0000000E+00	0.0000000E+00	6.3323297E-02	0.0000000E+00	3.6994340E-01	5.2655101E-01	5.8818031E-01	6.7121178E-01	0.0000000E+00	0.0000000E+00	7.3015542E-01	0.0000000E+00
