# File from M. Beznogov- HHJ EOS from Kaminker et al. (2014)- EOS used in Beznogov & Yakovlev MNRAS 447 (2015)
#    rho             P           nb             ne             nmu 
#    g/cm^3            dyn/cm^2    fm-3           fm-3           fm-3
 2.660092e+15  1.209136e+36  1.110268e+00  1.200386e-01  9.855323e-02
 2.728265e+15  1.261154e+36  1.129031e+00  1.227171e-01  1.010626e-01
 2.798588e+15  1.315272e+36  1.148111e+00  1.254511e-01  1.036266e-01
 2.871137e+15  1.371570e+36  1.167513e+00  1.282417e-01  1.062463e-01
 2.945992e+15  1.430130e+36  1.187243e+00  1.310901e-01  1.089228e-01
 3.023234e+15  1.491036e+36  1.207306e+00  1.339972e-01  1.116571e-01
 3.102950e+15  1.554375e+36  1.227709e+00  1.369644e-01  1.144506e-01
 3.185228e+15  1.620239e+36  1.248456e+00  1.399926e-01  1.173042e-01
 3.270159e+15  1.688721e+36  1.269554e+00  1.430832e-01  1.202192e-01
 3.357838e+15  1.759918e+36  1.291008e+00  1.462372e-01  1.231967e-01
 3.448363e+15  1.833931e+36  1.312825e+00  1.494560e-01  1.262380e-01
 3.541837e+15  1.910862e+36  1.335011e+00  1.527407e-01  1.293443e-01
 3.638366e+15  1.990820e+36  1.357572e+00  1.560927e-01  1.325170e-01
 3.738059e+15  2.073916e+36  1.380513e+00  1.595132e-01  1.357571e-01
 3.841029e+15  2.160264e+36  1.403843e+00  1.630036e-01  1.390662e-01
 3.947394e+15  2.249984e+36  1.427567e+00  1.665652e-01  1.424455e-01
 4.057276e+15  2.343198e+36  1.451691e+00  1.701993e-01  1.458963e-01
 4.170802e+15  2.440033e+36  1.476224e+00  1.739073e-01  1.494201e-01
 4.288102e+15  2.540621e+36  1.501171e+00  1.776907e-01  1.530182e-01
 4.409311e+15  2.645098e+36  1.526539e+00  1.815509e-01  1.566921e-01
 4.534571e+15  2.753605e+36  1.552337e+00  1.854893e-01  1.604433e-01
 4.664027e+15  2.866286e+36  1.578570e+00  1.895075e-01  1.642732e-01
 4.797830e+15  2.983292e+36  1.605246e+00  1.936070e-01  1.681834e-01
 4.936136e+15  3.104778e+36  1.632374e+00  1.977893e-01  1.721754e-01
 5.079106e+15  3.230906e+36  1.659960e+00  2.020560e-01  1.762507e-01
 5.226909e+15  3.361840e+36  1.688011e+00  2.064087e-01  1.804110e-01
 5.379718e+15  3.497754e+36  1.716538e+00  2.108490e-01  1.846579e-01
 5.537713e+15  3.638825e+36  1.745546e+00  2.153787e-01  1.889930e-01
 5.701080e+15  3.785236e+36  1.775044e+00  2.199993e-01  1.934181e-01
 5.870013e+15  3.937177e+36  1.805041e+00  2.247126e-01  1.979348e-01
 6.044711e+15  4.094844e+36  1.835544e+00  2.295204e-01  2.025450e-01
 6.225380e+15  4.258441e+36  1.866564e+00  2.344244e-01  2.072503e-01
 6.412237e+15  4.428176e+36  1.898107e+00  2.394266e-01  2.120526e-01
 6.605501e+15  4.604268e+36  1.930183e+00  2.445286e-01  2.169537e-01
 6.805405e+15  4.786939e+36  1.962802e+00  2.497325e-01  2.219556e-01
 7.012184e+15  4.976422e+36  1.995972e+00  2.550401e-01  2.270601e-01
 7.226087e+15  5.172955e+36  2.029702e+00  2.604534e-01  2.322692e-01
 7.447367e+15  5.376788e+36  2.064002e+00  2.659744e-01  2.375848e-01
 7.676290e+15  5.588175e+36  2.098882e+00  2.716050e-01  2.430090e-01
 7.913130e+15  5.807380e+36  2.134352e+00  2.773475e-01  2.485439e-01
 8.158169e+15  6.034679e+36  2.170420e+00  2.832038e-01  2.541915e-01
 8.411701e+15  6.270352e+36  2.207099e+00  2.891761e-01  2.599540e-01
 8.674029e+15  6.514692e+36  2.244397e+00  2.952666e-01  2.658335e-01
 8.945468e+15  6.768002e+36  2.282325e+00  3.014775e-01  2.718323e-01
