6	126	38		Itext, Imax, Icore												
																
EOS Sly4, Douchin et Haensel (2001) core + inner crust / EOS Haensel Zdunik Dobaczewski outer crust																
																
Rho	Press	nbar	Ye	Ymu	Yn	Yp	Yla	Ysm	Ys0	Ysp	mstp	mstn	mstla	mstsm	msts0	mstsp
g/cm3	dyne/cm2	#/fm3	[A_cell]	[A_ion]	[Z]				
							
1.0440E+04	9.7440E+18	6.2950E-12	56.000	56.000	26.000											
1.1500E+03	1.9000E+17	6.9300E-13	56.000	56.000	26.000											
2.1200E+02	5.8200E+15	1.2700E-13	56.000	56.000	26.000											
4.5100E+01	1.7000E+14	2.7200E-14	56.000	56.000	26.000											
1.6400E+01	1.4000E+13	9.9000E-15	56.000	56.000	26.000											
1.1600E+01	1.2100E+12	6.9900E-15	56.000	56.000	26.000											
8.1500E+00	1.0100E+11	4.9100E-15	56.000	56.000	26.000											
7.9000E+00	1.0100E+10	4.7600E-15	56.000	56.000	26.000											
7.8600E+00	1.0100E+09	4.7300E-15	56.000	56.000	26.000											
7.8000E+00	1.0100E+08	4.7000E-15	56.000	56.000	26.000											

