      6    632    492      Itext Imax Icore		
																				
	G85: model 3 from Glendenning 1985													
																				
   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0

5.7189806E+15	1.7684360E+36	2.2251000E+00	1.5983358E-03	0.0000000E+00	2.0237967E-01	1.7622346E-01	3.2109930E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7462513E-01	1.2567244E-01	1.2335200E-01	1.2318212E-01	6.9199612E-01	8.5919540E-01	8.5937155E-01	8.5824833E-01	1.0281531E+00	1.0275211E+00
5.7017180E+15	1.7605052E+36	2.2201000E+00	1.6205641E-03	0.0000000E+00	2.0258245E-01	1.7629096E-01	3.2106497E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7467039E-01	1.2539124E-01	1.2365241E-01	1.2348213E-01	6.9210156E-01	8.5924350E-01	8.5941984E-01	8.5829676E-01	1.0281435E+00	1.0275114E+00
5.6844752E+15	1.7525923E+36	2.2151000E+00	1.6430259E-03	0.0000000E+00	2.0278617E-01	1.7635880E-01	3.2103025E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7471578E-01	1.2510900E-01	1.2395379E-01	1.2378309E-01	6.9220734E-01	8.5929175E-01	8.5946830E-01	8.5834534E-01	1.0281338E+00	1.0275017E+00
5.6672522E+15	1.7446972E+36	2.2101000E+00	1.6657230E-03	0.0000000E+00	2.0299085E-01	1.7642700E-01	3.2099514E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7476128E-01	1.2482572E-01	1.2425613E-01	1.2408501E-01	6.9231345E-01	8.5934016E-01	8.5951690E-01	8.5839407E-01	1.0281241E+00	1.0274920E+00
5.6500491E+15	1.7368200E+36	2.2051000E+00	1.6886574E-03	0.0000000E+00	2.0319650E-01	1.7649556E-01	3.2095964E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7480690E-01	1.2454140E-01	1.2455943E-01	1.2438790E-01	6.9241990E-01	8.5938872E-01	8.5956567E-01	8.5844296E-01	1.0281144E+00	1.0274822E+00
5.6328659E+15	1.7289607E+36	2.2001000E+00	1.7118308E-03	0.0000000E+00	2.0340311E-01	1.7656447E-01	3.2092375E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7485264E-01	1.2425603E-01	1.2486371E-01	1.2469176E-01	6.9252669E-01	8.5943744E-01	8.5961459E-01	8.5849201E-01	1.0281046E+00	1.0274724E+00
5.6157025E+15	1.7211192E+36	2.1951000E+00	1.7352452E-03	0.0000000E+00	2.0361070E-01	1.7663374E-01	3.2088745E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7489849E-01	1.2396961E-01	1.2516896E-01	1.2499659E-01	6.9263383E-01	8.5948632E-01	8.5966366E-01	8.5854121E-01	1.0280948E+00	1.0274625E+00
5.5985589E+15	1.7132956E+36	2.1901000E+00	1.7589025E-03	0.0000000E+00	2.0381928E-01	1.7670337E-01	3.2085076E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7494447E-01	1.2368213E-01	1.2547520E-01	1.2530240E-01	6.9274131E-01	8.5953535E-01	8.5971290E-01	8.5859057E-01	1.0280850E+00	1.0274527E+00
5.5814352E+15	1.7054899E+36	2.1851000E+00	1.7828046E-03	0.0000000E+00	2.0402884E-01	1.7677336E-01	3.2081367E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7499056E-01	1.2339357E-01	1.2578242E-01	1.2560920E-01	6.9284914E-01	8.5958454E-01	8.5976229E-01	8.5864010E-01	1.0280751E+00	1.0274428E+00
5.5643314E+15	1.6977021E+36	2.1801000E+00	1.8069533E-03	0.0000000E+00	2.0423940E-01	1.7684372E-01	3.2077616E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7503677E-01	1.2310395E-01	1.2609064E-01	1.2591700E-01	6.9295731E-01	8.5963389E-01	8.5981184E-01	8.5868978E-01	1.0280652E+00	1.0274328E+00
