#       rho                     pressure          baryon number density             ne                     nmu
#       cgs                        cgs                   fm-3                   fm-3                   fm-3               
  0.6306558881979813E+10  0.4127452031846026E+28  0.3790829759287574E-05  0.2180442925654855E-07  0.0000000000000000E+00
  0.6558821237259006E+10  0.4340807971167594E+28  0.3942343773382228E-05  0.2267621841758330E-07  0.0000000000000000E+00
  0.6821174086749366E+10  0.4565132841421454E+28  0.4099912146202407E-05  0.2358286771159266E-07  0.0000000000000000E+00
  0.7094021050219340E+10  0.4800988005969131E+28  0.4263776736511837E-05  0.2452577170349648E-07  0.0000000000000000E+00
  0.7377781892228114E+10  0.5048963399068361E+28  0.4434189061856587E-05  0.2550638081213657E-07  0.0000000000000000E+00
  0.7672893167917239E+10  0.5309678964516623E+28  0.4611410684181088E-05  0.2652620355330702E-07  0.0000000000000000E+00
  0.7979808894633929E+10  0.5583786164888270E+28  0.4795713610836146E-05  0.2758680887338484E-07  0.0000000000000000E+00
  0.8299001250419287E+10  0.5871969564600706E+28  0.4987380711593391E-05  0.2868982857726491E-07  0.0000000000000000E+00
  0.8630961300436058E+10  0.6174948490172913E+28  0.5186706152305001E-05  0.2983695985445674E-07  0.0000000000000000E+00
  0.8976199752453501E+10  0.6493478771153681E+28  0.5393995845873132E-05  0.3102996790736382E-07  0.0000000000000000E+00
  0.9335247742551641E+10  0.6828354565325168E+28  0.5609567921220016E-05  0.3227068868593384E-07  0.0000000000000000E+00
  0.9708657652253708E+10  0.7180410271910133E+28  0.5833753210977198E-05  0.3356103173304498E-07  0.0000000000000000E+00
  0.1009700395834386E+11  0.7550522536630533E+28  0.6066895758641196E-05  0.3490298314517725E-07  0.0000000000000000E+00
  0.1050088411667761E+11  0.7939612352587119E+28  0.6309353345972590E-05  0.3629860865311009E-07  0.0000000000000000E+00
  0.1092091948134472E+11  0.8348647261050388E+28  0.6561498041446659E-05  0.3775005682758775E-07  0.0000000000000000E+00
  0.1135775626059851E+11  0.8778643656365855E+28  0.6823716770595932E-05  0.3925956241510432E-07  0.0000000000000000E+00
  0.1181206651102245E+11  0.9230669199288184E+28  0.7096411909118539E-05  0.4082944980917819E-07  0.0000000000000000E+00
  0.1228454917146335E+11  0.9705845343164858E+28  0.7380001899661240E-05  0.4246213666271561E-07  0.0000000000000000E+00
  0.1277593113832188E+11  0.1020534997748826E+29  0.7674921893222202E-05  0.4416013764730121E-07  0.0000000000000000E+00
